Conches-en-Ouche	48.9621726	0.9411911
Bagnères-de-Luchon	42.7910617	0.5912279
Arnas	46.0235247	4.7071167
Moëlan-sur-Mer	47.8133996	-3.6309833
Cossé-le-Vivien	47.9444647	-0.9117797
Penvénan	48.8120152	-3.2973357
Saint-Gildas-des-Bois	47.5174681	-2.0369967
Chassieu	45.7422756	4.9681796
Cercy-la-Tour	46.8696643	3.6457483
Redon	47.6510682	-2.0842143
Saint-Didier-au-Mont-d'Or	45.8115147	4.7979353
Neuilly-en-Thelle	49.2242307	2.2859429
Châtillon-en-Michaille	46.1438962	5.7985185
Talmont-Saint-Hilaire	46.4666884	-1.6189770
La Chapelle-Thouarault	48.1247951	-1.8645101
Estrées-Saint-Denis	49.4266493	2.6440507
Montrond-les-Bains	45.6433431	4.2299344
Saint-Jean-d'Illac	44.8101856	-0.7815257
Bouvron	47.4178011	-1.8476112
Le Chambon-sur-Lignon	45.0608090	4.3029410
Buxy	46.7133901	4.6950590
Plémet	48.1773130	-2.5940447
Maule	48.9079595	1.8505364
Le Taillan-Médoc	44.9044049	-0.6693402
Rosporden	47.9592684	-3.8278459
Gond-Pontouvre	45.6677249	0.1671129
Pîtres	49.3212629	1.2247712
Cauffry	49.3169260	2.4492290
Dunières	45.2150000	4.3446100
Ivry-la-Bataille	48.8852099	1.4579416
Langonnet	48.1039904	-3.4918790
Saint-Gély-du-Fesc	43.6913873	3.8039810
Auneuil	49.3705513	1.9976621
Spézet	48.1925931	-3.7165137
Frossay	47.2440022	-1.9341151
Camaret-sur-Mer	48.2772747	-4.5968963
Ille-sur-Têt	42.6709665	2.6224853
Fargues-Saint-Hilaire	44.8230228	-0.4440284
Puylaurens	43.5726147	2.0134036
Chaponnay	45.6274322	4.9345198
Frépillon	49.0512302	2.2032431
Plœuc-sur-Lié	48.3467297	-2.7569822
Chazay-d'Azergues	45.8759000	4.7111600
L'Horme	45.4873626	4.5424593
La Frette-sur-Seine	48.9740461	2.1783450
Thorigné-Fouillard	48.1535233	-1.5800238
Port-Vendres	42.5204146	3.1056167
Heyrieux	45.6290108	5.0636740
Fonbeauzard	43.6762879	1.4321168
Picauville	49.3787398	-1.4038773
Saint-Marcellin-en-Forez	45.4972427	4.1670428
Brebières	50.3372093	3.0224298
Lèves	48.4782477	1.4786967
Saint-Aubin-d'Aubigné	48.2630217	-1.6070770
Corbas	45.6662663	4.9015205
Asnières-sur-Oise	49.1339089	2.3541273
Mériel	49.0790561	2.2048038
Bignan	47.8799364	-2.7718416
Saint-Paul-en-Jarez	45.4825111	4.5741514
Gravigny	49.0473467	1.1624156
Ploudaniel	48.5369612	-4.3100487
Saint-Georges-sur-Eure	48.4182576	1.3552631
Oudon	47.3466877	-1.2861611
Chasseneuil-sur-Bonnieure	45.8239655	0.4487238
Saint-Affrique	43.9580035	2.8866641
La Machine	46.8899094	3.4658381
Venette	49.4162216	2.8007412
Ligné	47.4123249	-1.3768667
Amplepuis	45.9730698	4.3313792
Saint-Gilles	48.1539357	-1.8299928
Arnay-le-Duc	47.1309349	4.4858635
Villedieu-la-Blouère	47.1478174	-1.0625383
Larmor-Plage	47.7147553	-3.3763020
Guécélard	47.8771768	0.1294751
Lacroix-Saint-Ouen	49.3560470	2.7895045
Margency	49.0020000	2.2884700
Bouloc	43.7809538	1.4051212
Le Bignon	47.0982118	-1.4907076
Coye-la-Forêt	49.1425141	2.4671146
La Planche	47.0165253	-1.4358522
Verneuil d'Avre et d'Iton	48.7386515	0.9295044
Bruguières	43.7277106	1.4111260
Pradines	44.4794018	1.4042655
Mazères	43.2501677	1.6776298
Gouvieux	49.1902000	2.4152100
Illiers-Combray	48.2994963	1.2444186
Communay	45.6043302	4.8324705
Le Plessis-Bouchard	49.0016863	2.2330815
Romilly-sur-Andelle	49.3314668	1.2583031
Saint-Étienne-de-Montluc	47.2739351	-1.7810546
Fleurance	43.8492950	0.6640617
Talensac	48.1092798	-1.9269063
La Charité-sur-Loire	47.1793255	3.0185784
Pollestres	42.6420519	2.8709063
Ploumagoar	48.5446720	-3.1315516
Agon	49.0426274	-1.5767053
Villepreux	48.8323013	2.0070490
Ploumilliau	48.6789548	-3.5233682
Saint-Mathieu-de-Tréviers	43.7694101	3.8644554
Toury	48.1962708	1.9363143
Saint-Aubin-de-Médoc	44.9134219	-0.7246734
Le Soler	42.6824044	2.8007536
Plescop	47.6980235	-2.8062224
Louargat	48.5665253	-3.3403924
Créon	44.7746764	-0.3482858
Saint-Quay-Portrieux	48.6521014	-2.8306322
Saint-Yvi	47.9673654	-3.9371068
Saint-Georges-sur-Baulche	47.8048527	3.5312159
Juvignac	43.6140784	3.8101646
Vernaison	45.6467000	4.8098600
